"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"5830",5830,"ITT Technical Institute-Clovis",3,18739,2218,0.3571,0,0.5476,0.2857,0,NA,NA,NA,0,12667,17014,17000,38200,46300,47200,0.3571,-0.1905,0.0714,0.3571,NA,NA,NA,0.3571,0.190677966101695,0.0190677966101695
"5831",5831,"ITT Technical Institute-Dunmore",3,19608,2404,NA,NA,NA,NA,NA,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,NA,NA,NA,NA,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5832",5832,"ITT Technical Institute-Swartz Creek",3,19706,2272,0.4091,0.3056,0.1667,NA,0,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.1035,0.2424,NA,0.4091,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5833",5833,"ITT Technical Institute-Lexington",3,14100,2178,0.28,0.125,0.1667,1,0,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.155,0.1133,-0.72,0.28,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5834",5834,"ITT Technical Institute-Maumee",3,19700,2344,0.4821,0.434,0.4286,NA,0,NA,NA,NA,0.5,12667,17014,17000,38200,46300,47200,0.0481,0.0535,NA,0.4821,NA,NA,NA,-0.0179,0.190677966101695,0.0190677966101695
"5835",5835,"ITT Technical Institute-Oklahoma City",3,19517,3249,0.2581,0.25,0.8333,0.5,0,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.0081,-0.5752,-0.2419,0.2581,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5836",5836,"ITT Technical Institute-Tulsa",3,19660,3543,0.3421,0.4167,0.6,0.5,0.4286,NA,NA,NA,0,12667,17014,17000,38200,46300,47200,-0.0746,-0.2579,-0.1579,-0.0865,NA,NA,NA,0.3421,0.190677966101695,0.0190677966101695
"5837",5837,"University of Phoenix-South Carolina",3,9462,3159,0.1333,0.1176,NA,NA,NA,NA,NA,NA,0.0556,10875,20000,20000,42700,54400,75800,0.0157,NA,NA,NA,NA,NA,NA,0.0777,0.436675461741425,0.282321899736148
"5838",5838,"Argosy University-The Art Institute of California-Inland Empire",3,13720,4738,0.3243,0.2,0.4487,0.4444,0.3333,NA,NA,NA,0.0385,9500,12667,12500,40500,41300,42800,0.1243,-0.1244,-0.1201,-0.00900000000000001,NA,NA,NA,0.2858,0.0537383177570093,0.0350467289719626
"5839",5839,"National American University-Zona Rosa",3,15107,4865,0,NA,NA,NA,NA,NA,NA,NA,0,10626.5,16176.5,17500,30300,43300,56400,NA,NA,NA,NA,NA,NA,NA,0,0.462765957446808,0.232269503546099
"5840",5840,"West Hills College-Lemoore",1,455,4627,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,6000,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5841",5841,"Stautzenberger College-Brecksville",3,12428,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,12126,15250,13123,26700,32600,34400,NA,NA,NA,NA,NA,NA,NA,NA,0.223837209302326,0.0523255813953488
"5842",5842,"Stone Academy-East Hartford",3,7106,5169,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10267,13148,22900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5843",5843,"Westwood College-Annandale",3,14911,2995,0.3846,0.1875,0.15,0.25,NA,NA,NA,NA,0.5,20000,24943.5,23250,NA,NA,NA,0.1971,0.2346,0.1346,NA,NA,NA,NA,-0.1154,NA,NA
"5844",5844,"Unitech Training Academy-Houma",3,9963,4293,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,6915,6458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5845",5845,"Miller-Motte Technical College-Madison",3,13596,5712,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,13709,10075,23100,30600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.150735294117647,-0.125
"5846",5846,"Rasmussen College-Illinois",3,16546,3903,0.2923,0,0.1818,0,NA,NA,NA,0,0,9500,14606,12500,28900,34600,37200,0.2923,0.1105,0.2923,NA,NA,NA,0.2923,0.2923,0.223118279569892,0.0698924731182796
"5847",5847,"Educational Technical College-Recinto de Coamo",3,6230,2415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5848",5848,"Educational Technical College-Recinto de san Sebastian",3,4819,1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5849",5849,"Argosy University-Denver",3,11779,4535,0,NA,NA,NA,NA,NA,NA,NA,NA,9500,12667,12500,40500,41300,42800,NA,NA,NA,NA,NA,NA,NA,NA,0.0537383177570093,0.0350467289719626
"5850",5850,"CollegeAmerica-Colorado Springs",2,17408,4069,0.4426,0.3364,0.3519,0.4444,0.25,0,0.5,NA,0.1429,19500,20000,17500,24300,33000,35300,0.1062,0.0907,-0.00180000000000002,0.1926,0.4426,-0.0574,NA,0.2997,0.311614730878187,0.0651558073654391
"5851",5851,"CollegeAmerica-Fort Collins",2,17784,7426,0.4889,0.1,0.2679,NA,NA,NA,0.6667,NA,0.5,19500,20000,17500,24300,33000,35300,0.3889,0.221,NA,NA,NA,-0.1778,NA,-0.0111,0.311614730878187,0.0651558073654391
"5852",5852,"Automotive Training Center-Warminster",3,9774,6297,NA,NA,NA,NA,NA,NA,NA,NA,NA,14045,13917,13000,37700,42800,46900,NA,NA,NA,NA,NA,NA,NA,NA,0.196162046908316,0.0874200426439232
"5853",5853,"Empire Beauty School-Milwaukee",3,8168,10236,NA,NA,NA,NA,NA,NA,NA,NA,NA,7917,9164,8907,16200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5854",5854,"The Robert B Miller College",2,5817,5473,NA,NA,NA,NA,NA,NA,NA,NA,NA,12445,13750,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5855",5855,"University of Phoenix-Connecticut",3,10698,12409,NA,1,0,NA,NA,NA,NA,NA,NA,10875,20000,20000,42700,54400,75800,NA,NA,NA,NA,NA,NA,NA,NA,0.436675461741425,0.282321899736148
"5856",5856,"University of South Florida-St Petersburg",1,5560,5642,0.3346,0.3793,0.2292,0.2222,0.5,NA,0.5,0,0.25,15777.5,17717,15775,43500,45500,47500,-0.0447,0.1054,0.1124,-0.1654,NA,-0.1654,0.3346,0.0846,0.0842105263157895,0.0421052631578947
"5857",5857,"Triangle Tech Inc-Bethlehem",3,13852,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,15943.5,12000,12000,40200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5858",5858,"Arizona State University-Downtown Phoenix",1,12430,9648,0.6125,0.4828,0.536,0.641,0.3478,NA,NA,0.5,0.6923,15651,15522.5,14590,NA,NA,NA,0.1297,0.0765,-0.0285,0.2647,NA,NA,0.1125,-0.0798,NA,NA
"5859",5859,"Milan Institute-Clovis",3,8081,2562,NA,NA,NA,NA,NA,NA,NA,NA,NA,8971,8971,8291.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5860",5860,"Branford Hall Career Institute-Albany Campus",3,12887,3622,NA,NA,NA,NA,NA,NA,NA,NA,NA,8831,9498,7667,25400,33700,35200,NA,NA,NA,NA,NA,NA,NA,NA,0.278409090909091,0.0426136363636364
"5861",5861,"Harris School of Business-Linwood Campus",3,19094,4176,NA,NA,NA,NA,NA,NA,NA,NA,NA,7915,7916.5,7389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5862",5862,"The Art Institute of Tennessee-Nashville",3,12496,4365,0.4935,0.3478,0,0.5,0,NA,NA,NA,1,11334,12667,12886.5,31000,35800,39200,0.1457,0.4935,-0.00650000000000001,0.4935,NA,NA,NA,-0.5065,0.209183673469388,0.086734693877551
"5863",5863,"Strayer University-Florida",3,16190,2700,0,0.3333,0.5,1,NA,NA,NA,0,NA,8334,16769.5,17500.5,41900,55100,71400,-0.3333,-0.5,-1,NA,NA,NA,0,NA,0.413165266106443,0.228291316526611
"5864",5864,"Pima Medical Institute-Renton",3,6860,2372,NA,NA,NA,NA,NA,NA,NA,NA,NA,8445,8708,9298,27100,33800,37000,NA,NA,NA,NA,NA,NA,NA,NA,0.267567567567568,0.0864864864864865
"5865",5865,"College of Business and Technology-Flagler",3,8837,2789,NA,NA,NA,NA,NA,NA,NA,NA,NA,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5866",5866,"College of Business and Technology-Hialeah",3,8270,2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5867",5867,"Miller-Motte College-Cary",3,12407,5129,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,13007.5,9500,19900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5868",5868,"Miami-Jacobs Career College-Springboro",3,14061,4152,NA,NA,NA,NA,NA,NA,NA,NA,NA,12661,16334,14828,25200,30000,35800,NA,NA,NA,NA,NA,NA,NA,NA,0.29608938547486,0.162011173184358
"5869",5869,"Dewey University-Juana Díaz",2,83,889,NA,NA,0.6296,NA,NA,NA,NA,NA,NA,NA,NA,NA,18700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5870",5870,"Dewey University-Fajardo",2,260,2782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5871",5871,"Dewey University-Arroyo",2,354,3785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5872",5872,"Regency Beauty Institute-Independence",3,10877,7127,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5873",5873,"Regency Beauty Institute-St Peters",3,10877,7127,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5874",5874,"Regency Beauty Institute-Peoria",3,11643,7629,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5875",5875,"Regency Beauty Institute-Greenwood",3,12157,7966,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5876",5876,"Regency Beauty Institute-Mehlville",3,15897,10416,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5877",5877,"Regency Beauty Institute-Duluth",3,16870,11054,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5878",5878,"Regency Beauty Institute-Fairview Heights",3,16756,10979,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5879",5879,"Regency Beauty Institute-Champaign",3,20411,13374,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5880",5880,"Regency Beauty Institute-Olathe",3,12525,8207,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10137,8375,22100,24600,27200,NA,NA,NA,NA,NA,NA,NA,NA,0.1875,0.0955882352941176
"5881",5881,"The College of Health Care Professions-San Antonio",3,6738,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,9451,9500,7836.5,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5882",5882,"Everest Institute-South Plainfield",3,8847,4156,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,9387,21600,27000,32000,NA,NA,NA,NA,NA,NA,NA,NA,0.325,0.15625
"5883",5883,"Daymar College-Madisonville",3,16407,4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,13055,18556.5,19596,21000,30400,31600,NA,NA,NA,NA,NA,NA,NA,NA,0.335443037974684,0.0379746835443038
"5884",5884,"Brittany Beauty School",3,10538,1173,NA,NA,NA,NA,NA,NA,NA,NA,NA,7798,7186,5500,19100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5885",5885,"Lincoln Technical Institute-Whitestone",3,15418,6288,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10440,9344,36700,41400,47900,NA,NA,NA,NA,NA,NA,NA,NA,0.233820459290188,0.135699373695198
"5886",5886,"American Public University System",3,7662,2170,0.4805,0.2424,0.2,0.75,1,0.8,0.5,0.6667,0.75,3066,6999.5,9500,NA,NA,NA,0.2381,0.2805,-0.2695,-0.5195,-0.3195,-0.0195,-0.1862,-0.2695,NA,NA
"5887",5887,"Huntsville Bible College",2,2792,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5888",5888,"Beaumont Adult School",1,16041,10861,NA,NA,NA,NA,NA,NA,NA,NA,NA,11016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5889",5889,"Make-up Designory",3,24289,10329,NA,NA,NA,NA,NA,NA,NA,NA,NA,6354,4962,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5890",5890,"Gnomon School of Visual Effects",3,15808,4209,NA,NA,NA,NA,NA,NA,NA,NA,NA,26999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5891",5891,"Coachella Valley Beauty College",3,4900,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5892",5892,"Career College of California",3,10990,2242,NA,NA,NA,NA,NA,NA,NA,NA,NA,9004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5893",5893,"Valley College of Medical Careers",3,12779,5760,NA,NA,NA,NA,NA,NA,NA,NA,NA,8460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5894",5894,"Academy of Natural Therapy Inc",3,17487,4406,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5895",5895,"Academy Di Capelli-School of Cosmetology",3,12276,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,9833,12050,9833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5896",5896,"Delaware Learning Institute of Cosmetology",3,9088,3317,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5897",5897,"Palm Beach Academy of Health & Beauty",3,2465,1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,5694.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5898",5898,"SABER College",2,12034,6275,NA,NA,NA,NA,NA,NA,NA,NA,NA,26895.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5899",5899,"Taylor College",3,3105,3139,NA,NA,NA,NA,NA,NA,NA,NA,NA,15187,20000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5900",5900,"Pensacola School of Massage Therapy & Health Careers",3,5298,1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,4545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5901",5901,"Ideal Beauty Academy",3,6816,8311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5902",5902,"Success Schools",3,6527,1279,NA,NA,NA,NA,NA,NA,NA,NA,NA,7109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5903",5903,"Louisiana Culinary Institute",3,16068,2730,NA,NA,NA,NA,NA,NA,NA,NA,NA,18375,12000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5904",5904,"Bais Medrash Toras Chesed",2,4776,2386,0.1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5905",5905,"Center for Natural Wellness School of Massage Therapy",3,14804,8445,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5906",5906,"Ace Computer Training Center",3,17298,6387,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5907",5907,"New Age Training",3,11555,3568,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5908",5908,"Dayton School of Medical Massage",3,14562,3244,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5909",5909,"Northcoast Medical Training Academy",3,5935,2141,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,8577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5910",5910,"American Institute of Medical Technology",3,13687,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,20143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5911",5911,"Carib Technological Institute",3,7136,1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5912",5912,"Visible Music College",2,31193,20566,0.5238,0.3333,0.6667,NA,NA,NA,NA,NA,0.3333,17750,20000,19500,NA,NA,NA,0.1905,-0.1429,NA,NA,NA,NA,NA,0.1905,NA,NA
"5913",5913,"CCI Training Center-Arlington",3,10321,4730,NA,NA,NA,NA,NA,NA,NA,NA,NA,8313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5914",5914,"Champion Beauty College",3,6667,1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5915",5915,"Professional Careers Institute",3,13795,5976,NA,NA,NA,NA,NA,NA,NA,NA,NA,8181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5916",5916,"Southeast Texas Career Institute",3,3774,1172,NA,NA,NA,NA,NA,NA,NA,NA,NA,5500,5125,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5917",5917,"Southwest Applied Technology College",1,2494,14319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5918",5918,"Academy of Cosmetology",3,9441,7288,NA,NA,NA,NA,NA,NA,NA,NA,NA,9588.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5919",5919,"Milwaukee Career College",3,20752,9907,NA,NA,NA,NA,NA,NA,NA,NA,NA,7520,5276,4749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5920",5920,"University of the West",2,6881,8915,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5921",5921,"South University-Tampa",3,17696,7867,0.1667,0.1111,0.1667,NA,NA,NA,NA,NA,NA,8171,10559,12387.5,29200,40600,46400,0.0556,0,NA,NA,NA,NA,NA,NA,0.370689655172414,0.125
"5922",5922,"Milan Institute of Cosmetology-San Antonio Military",3,6885,2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,8350,9245.5,7916,21800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923",5923,"Appalachian College of Pharmacy",2,34675,17037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5924",5924,"Averett University-Non-Traditional Programs",2,10120,4379,NA,0,NA,NA,NA,NA,NA,NA,NA,19023,16125,19500,38400,47400,55000,NA,NA,NA,NA,NA,NA,NA,NA,0.301818181818182,0.138181818181818
"5925",5925,"Paul Mitchell the School-Tampa",3,9406,3491,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10495,9800,22800,25200,27600,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261,0.0869565217391304
"5926",5926,"Paul Mitchell the School-San Diego",3,10573,3478,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10495,9800,22800,25200,27600,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261,0.0869565217391304
"5927",5927,"Paul Mitchell the School-Michigan",3,9922,4024,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,10495,9800,22800,25200,27600,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261,0.0869565217391304
"5928",5928,"Paul Mitchell the School-Sherman Oaks",3,9448,3373,NA,NA,NA,NA,NA,NA,NA,NA,NA,10032.5,10556,10556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5929",5929,"Paul Mitchell the School-Mclean",3,9367,4638,NA,NA,NA,NA,NA,NA,NA,NA,NA,10500,13000,9833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5930",5930,"Miami-Jacobs Career College-Troy",3,14067,4503,NA,NA,NA,NA,NA,NA,NA,NA,NA,12661,16334,14828,25200,30000,35800,NA,NA,NA,NA,NA,NA,NA,NA,0.29608938547486,0.162011173184358
"5931",5931,"Blue Cliff College-Houma",3,20583,7808,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245,9500,8195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5932",5932,"The Art Institute of Salt Lake City",3,12117,5456,0.125,NA,0.6667,NA,NA,NA,NA,NA,0.3721,11093.5,14326,13000,27700,NA,NA,NA,-0.5417,NA,NA,NA,NA,NA,-0.2471,NA,NA
"5933",5933,"Fortis College-Columbus",3,8074,5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,9905,11833,10937.5,25800,31400,33400,NA,NA,NA,NA,NA,NA,NA,NA,0.227544910179641,0.0598802395209581
"5934",5934,"Fortis College-Cincinnati",3,9748,4577,NA,NA,NA,NA,NA,NA,NA,NA,NA,9905,11833,10937.5,25800,31400,33400,NA,NA,NA,NA,NA,NA,NA,NA,0.227544910179641,0.0598802395209581
"5935",5935,"Fortis Institute-Baltimore",3,8336,2715,NA,NA,NA,NA,NA,NA,NA,NA,NA,6333,6333,6333,32700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5936",5936,"The Art Institute of Charleston",3,14154,4948,0.3043,0.4,0.3333,0,0.75,NA,NA,NA,0.5,11334,12667,12886.5,31000,35800,39200,-0.0957,-0.029,0.3043,-0.4457,NA,NA,NA,-0.1957,0.209183673469388,0.086734693877551
"5937",5937,"Argosy University-The Art Institute of California-Sacramento",3,12993,4960,0.45,0,0.5,0,0,NA,NA,NA,0.1176,9500,12667,12500,40500,41300,42800,0.45,-0.05,0.45,0.45,NA,NA,NA,0.3324,0.0537383177570093,0.0350467289719626
"5938",5938,"Blue Cliff College-Fayetteville",3,6090,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245,9500,8195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5939",5939,"Blue Cliff College-Alexandria",3,6334,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245,9500,8195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5940",5940,"StenoTech Career Institute-Piscataway",3,10018,3299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5941",5941,"Ultimate Medical Academy-Tampa",3,12030,1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,9982,12187,13390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5942",5942,"Beauty Schools of America-North Miami Beach",3,12038,3262,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,9500,17400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5943",5943,"Virginia College-Biloxi",3,15373,4510,NA,NA,NA,NA,NA,NA,NA,NA,NA,10431,13235,12000,25700,34500,38500,NA,NA,NA,NA,NA,NA,NA,NA,0.332467532467532,0.103896103896104
"5944",5944,"ITT Technical Institute-St Petersburg",3,15433,3381,0.3158,0.1176,1,1,NA,NA,NA,NA,0,12667,17014,17000,38200,46300,47200,0.1982,-0.6842,-0.6842,NA,NA,NA,NA,0.3158,0.190677966101695,0.0190677966101695
"5945",5945,"ITT Technical Institute-Baton Rouge",3,16852,1715,0.4074,0.1667,0,1,1,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.2407,0.4074,-0.5926,-0.5926,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5946",5946,"ITT Technical Institute-Columbia",3,17887,2090,0.3077,0.3148,0.25,NA,NA,NA,NA,NA,0.6667,12667,17014,17000,38200,46300,47200,-0.00710000000000005,0.0577,NA,NA,NA,NA,NA,-0.359,0.190677966101695,0.0190677966101695
"5947",5947,"ITT Technical Institute-Wichita",3,24223,4601,0.3793,0.2222,0,0.5,NA,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.1571,0.3793,-0.1207,NA,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
"5948",5948,"ITT Technical Institute-Atlanta",3,18076,2022,0.1111,0.3636,NA,0,0,NA,NA,NA,0.6,12667,17014,17000,38200,46300,47200,-0.2525,NA,0.1111,0.1111,NA,NA,NA,-0.4889,0.190677966101695,0.0190677966101695
"5949",5949,"ITT Technical Institute-Mobile",3,15086,1774,0.25,0.2174,1,1,NA,NA,NA,NA,NA,12667,17014,17000,38200,46300,47200,0.0326,-0.75,-0.75,NA,NA,NA,NA,NA,0.190677966101695,0.0190677966101695
