"","X","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_completion_white_black","gap_completion_white_hisp","gap_completion_white_asian","gap_completion_white_aian","gap_completion_white_nhpi","gap_completion_white_2mor","gap_completion_white_nra","gap_completion_white_unkn","gap_earnings_high_low","gap_earnings_high_mid"
"58",58,"Tuskegee University",2,14104,14344,0,0.4812,1,NA,NA,NA,NA,0,0.3077,21000,23500,19625,37500,43400,46300,-0.4812,-1,NA,NA,NA,NA,0,-0.3077,0.190064794816415,0.0626349892008639
"59",59,"United States Sports Academy",2,14687,3335,NA,NA,NA,NA,NA,NA,NA,NA,NA,9950,11323.5,9157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"Bevill State Community College",1,1961,6554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"University of Alaska Anchorage",1,5843,10594,0.3015,0.1087,0.2206,0.2756,0.061,NA,NA,0.5455,0.1948,11000,10500,8250,42700,48300,51700,0.1928,0.0809,0.0259,0.2405,NA,NA,-0.244,0.1067,0.174081237911025,0.0657640232108317
"62",62,"Alaska Bible College",2,8132,9585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"University of Alaska Fairbanks",1,6491,16892,0.3914,0.2667,0.3125,0.2778,0.1139,0,NA,0.7143,0.3284,11000,11000,8312.5,37300,44200,47100,0.1247,0.0789,0.1136,0.2775,0.3914,NA,-0.3229,0.063,0.208067940552017,0.0615711252653928
"64",64,"University of Alaska Southeast",1,6117,12814,0.2208,NA,0.1667,0.0769,0.1087,NA,NA,NA,0.1667,11251,10500,7550,34300,44000,42900,NA,0.0541,0.1439,0.1121,NA,NA,NA,0.0541,0.2004662004662,-0.0256410256410256
"65",65,"Alaska Pacific University",2,13383,11261,0.6863,0,0,0,NA,NA,1,NA,0,18000,19924,18750,NA,53300,NA,0.6863,0.6863,0.6863,NA,NA,-0.3137,NA,0.6863,NA,NA
"66",66,"AVTEC-Alaska's Institute of Technology",1,4340,21957,NA,NA,NA,NA,NA,NA,NA,NA,NA,9055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"Charter College-Anchorage",3,8755,2617,0.4912,0.2642,0.5806,0.3056,0.2933,0.3333,0.5,NA,0.5517,10500,9500,9500,33000,48100,55900,0.227,-0.0894,0.1856,0.1979,0.1579,-0.00879999999999997,NA,-0.0604999999999999,0.409660107334526,0.13953488372093
"68",68,"Alaska Career College",3,11905,4178,NA,NA,NA,NA,NA,NA,NA,NA,NA,8423,7199,6156,28200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"Everest College-Phoenix",3,13130,7785,0.3062,0.2067,0.457,0.4231,0.3553,0,0.1429,1,0.2968,9186,9500,9500,28100,NA,NA,0.0995,-0.1508,-0.1169,-0.0491,0.3062,0.1633,-0.6938,0.00940000000000002,NA,NA
"70",70,"Collins College",3,33714,15126,0.5128,0.4,0.383,0.4286,0.24,NA,0.25,NA,0.4528,33631,41000,36126,25500,33000,38200,0.1128,0.1298,0.0842000000000001,0.2728,NA,0.2628,NA,0.0600000000000001,0.332460732984293,0.136125654450262
"71",71,"Empire Beauty School-Paradise Valley",3,8183,13914,NA,NA,NA,NA,NA,NA,NA,NA,NA,8470.5,7350,6222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Empire Beauty School-Tucson",3,8029,6111,NA,NA,NA,NA,NA,NA,NA,NA,NA,7452,8100,8044,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"Thunderbird School of Global Management",2,71514,55110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"American Indian College Inc",2,3313,8378,0.5,NA,NA,NA,0.1538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3462,0.5,NA,NA,NA,NA,NA
"75",75,"American Institute of Technology",3,7854,5458,NA,NA,NA,NA,NA,NA,NA,NA,NA,6030,6083.5,3666,29300,35700,37800,NA,NA,NA,NA,NA,NA,NA,NA,0.224867724867725,0.0555555555555556
"76",76,"Carrington College-Phoenix",3,13638,3582,NA,NA,NA,NA,NA,NA,NA,NA,NA,9499,9500,9500,24800,31400,32600,NA,NA,NA,NA,NA,NA,NA,NA,0.239263803680982,0.0368098159509202
"77",77,"Carrington College-Mesa",3,14755,6542,NA,NA,NA,NA,NA,NA,NA,NA,NA,9499,9500,9500,24800,31400,32600,NA,NA,NA,NA,NA,NA,NA,NA,0.239263803680982,0.0368098159509202
"78",78,"Carrington College-Tucson",3,13497,2581,NA,NA,NA,NA,NA,NA,NA,NA,NA,9499,9500,9500,24800,31400,32600,NA,NA,NA,NA,NA,NA,NA,NA,0.239263803680982,0.0368098159509202
"79",79,"CollegeAmerica-Flagstaff",2,17541,3873,0.475,0.3333,0.7,NA,0.438,NA,1,NA,0.25,15884.5,20000,17647,NA,NA,NA,0.1417,-0.225,NA,0.037,NA,-0.525,NA,0.225,NA,NA
"80",80,"Arizona Academy of Beauty-East",3,10287,6566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"Arizona Automotive Institute",3,17356,7086,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,9500,9500,30800,39400,38200,NA,NA,NA,NA,NA,NA,NA,NA,0.193717277486911,-0.031413612565445
"82",82,"Brookline College-Phoenix",3,16664,6269,0.4277,0.3175,0.5718,0.6667,0.619,NA,NA,NA,0.4444,9500,9500,9500,22100,27700,35300,0.1102,-0.1441,-0.239,-0.1913,NA,NA,NA,-0.0167,0.373937677053824,0.215297450424929
"83",83,"Arizona State University-Tempe",1,12460,9671,0.6394,0.4916,0.6079,0.7317,0.3571,NA,NA,0.6831,0.7,15651,15522.5,14590,49000,52800,54500,0.1478,0.0315,-0.0923,0.2823,NA,NA,-0.0437000000000001,-0.0606,0.100917431192661,0.0311926605504587
"84",84,"Arizona Western College",1,679,5285,NA,NA,NA,NA,NA,NA,NA,NA,NA,4750,3500,2750,29700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"University of Arizona",1,12441,12071,0.6194,0.4523,0.5421,0.6997,0.3,0.8333,0.6084,0.7047,0.6,13500,13654,13000,50000,52000,57100,0.1671,0.0772999999999999,-0.0803,0.3194,-0.2139,0.0109999999999999,-0.0853,0.0194,0.124343257443082,0.0893169877408056
"86",86,"Southwest University of Visual Arts-Tucson",3,19099,2963,1,0,1,NA,NA,NA,NA,NA,1,40000,34500,32537,28800,32700,34300,1,0,NA,NA,NA,NA,NA,0,0.160349854227405,0.0466472303206997
"87",87,"Central Arizona College",1,1192,6512,NA,NA,NA,NA,NA,NA,NA,NA,NA,4956.5,5882,5500,28700,32500,41600,NA,NA,NA,NA,NA,NA,NA,NA,0.310096153846154,0.21875
"88",88,"Brown Mackie College-Tucson",3,10380,3883,0.3488,0.2727,0.32,0,0.1429,NA,NA,NA,0.5,11093.5,14326,13000,27700,NA,NA,0.0761,0.0288,0.3488,0.2059,NA,NA,NA,-0.1512,NA,NA
"89",89,"Charles of Italy Beauty College",3,8454,1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,5948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
