"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","gap_completion_white_black"
"2164","Nebraska Methodist College of Nursing & Allied Health",2,13433,9321,0.6604,0.5,0.242883101150818
"2167","Midland University",2,12341,4805,0.5347,0.3478,0.349541799139704
"2169","University of Nebraska at Omaha",1,6140,8428,0.4651,0.2193,0.528488497097398
"2170","Kaplan University-Omaha Campus",3,7833,2101,0.4194,0.4,0.0462565569861707
"2173","Nebraska Wesleyan University",2,12272,7123,0.6989,0.6667,0.0460723994849049
"2174","University of Nebraska-Lincoln",1,8944,10896,0.6781,0.5227,0.229169738976552
"2176","Peru State College",1,3357,4834,0.3876,0.2857,0.262899896800826
"2177","College of Saint Mary",2,14557,7310,0.5085,0.25,0.508357915437561
"2179","Union College",2,15410,10177,0.496,0.5,-0.00806451612903226
"2182","Wayne State College",1,3847,6294,0.5264,0.2273,0.568199088145897
"2185","York College",2,10520,5525,0.3556,0.625,-0.757592800899887
"2188","College of Southern Nevada",1,2530,5856,0.0783,0.0437,0.441890166028097
"2189","The Art Institute of Las Vegas",3,13596,4593,0.3256,0.2105,0.353501228501229
"2192","University of Nevada-Las Vegas",1,6961,8805,0.4036,0.3401,0.157333994053518
"2193","University of Nevada-Reno",1,7750,15140,0.5684,0.3673,0.353800140745954
"2199","Colby-Sawyer College",2,10446,8181,0.4954,0.5,-0.00928542591844972
"2201","Daniel Webster College",3,15395,3457,0.5591,0.5,0.105705598282955
"2202","Dartmouth College",2,29358,25102,0.9726,0.8586,0.117211597779149
"2205","Franklin Pierce University",2,15535,8643,0.4694,0.4667,0.00575202386024708
"2207","Mount Washington College",3,14378,6065,0.2761,0.0588,0.787033683448026
"2211","New England College",2,9461,4166,0.3756,0.4,-0.0649627263045794
"2213","Southern New Hampshire University",2,10367,2464,0.5269,0.3636,0.309925982159803
"2215","University of New Hampshire-Main Campus",1,12491,10676,0.7829,0.619,0.209349853110231
"2216","Keene State College",1,11433,8848,0.6286,0.375,0.403436207445116
"2218","Plymouth State University",1,11024,8943,0.5782,0.625,-0.0809408509166377
"2227","Rivier University",2,12987,6657,0.5311,0.4,0.246846168329881
"2228","Saint Anselm College",2,16856,11966,0.7621,0.5714,0.250229628657656
"2236","Berkeley College-Woodland Park",3,16647,6396,0.3878,0.2195,0.433986591026302
"2238","Bloomfield College",2,18013,8240,0.3913,0.2973,0.240224891387682
"2241","Caldwell University",2,16560,6637,0.6788,0.52,0.233942251031232
"2243","Centenary College",2,15555,5579,0.6256,0.6667,-0.0656969309462914
"2254","Drew University",2,17541,12802,0.6419,0.5185,0.192241782209067
"2259","Fairleigh Dickinson University-Metropolitan Campus",2,18071,7993,0.5902,0.375,0.36462216197899
"2260","Felician University",2,18931,8792,0.5,0.2195,0.561
"2261","Fairleigh Dickinson University-College at Florham",2,26923,11908,0.586,0.4444,0.241638225255973
"2263","Georgian Court University",2,18141,6982,0.5932,0.3438,0.420431557653405
"2264","Rowan University",1,11552,16320,0.6995,0.5,0.285203716940672
"2271","New Jersey City University",1,8077,10075,0.3628,0.1636,0.549062844542448
"2273","Kean University",1,8533,9932,0.5458,0.3895,0.286368633198974
"2279","Monmouth University",2,20580,8956,0.6805,0.6857,-0.00764144011756059
"2280","Montclair State University",1,9022,9110,0.6664,0.5805,0.12890156062425
"2287","New Jersey Institute of Technology",1,10459,9177,0.6196,0.3906,0.369593285990962
"2294","Princeton University",2,13255,52224,0.9754,0.9255,0.0511584990773017
"2296","Ramapo College of New Jersey",1,9576,9581,0.7508,0.5686,0.242674480554076
"2298","Rider University",2,20981,13081,0.6678,0.4333,0.351153039832285
"2300","Rutgers University-Camden",1,12573,14493,0.5891,0.493,0.163130198608046
"2301","Rutgers University-New Brunswick",1,13386,18006,0.8244,0.7385,0.104196991751577
"2302","Rutgers University-Newark",1,12686,13707,0.6525,0.5969,0.0852107279693486
"2305","Saint Peter's University",2,16376,8356,0.6536,0.4277,0.34562423500612
"2307","Seton Hall University",2,22657,10660,0.7291,0.4552,0.375668632560691
"2309","College of Saint Elizabeth",2,18832,11114,0.5435,0.5116,0.0586936522539097
"2311","Stevens Institute of Technology",2,27192,13732,0.8144,0.7333,0.0995825147347741
"2312","Stockton University",1,6882,8487,0.6755,0.5072,0.249148778682457
"2316","The College of New Jersey",1,11918,11128,0.8859,0.6854,0.22632351281183
"2319","William Paterson University of New Jersey",1,10018,10595,0.5467,0.3641,0.334004024144869
"2326","Eastern New Mexico University-Main Campus",1,3385,6199,0.3354,0.2,0.403697078115683
"2329","New Mexico Highlands University",1,4028,7548,0.16,0.0638,0.60125
"2335","University of New Mexico-Main Campus",1,5411,11745,0.5172,0.3861,0.253480278422274
"2339","New Mexico State University-Main Campus",1,4051,9196,0.5025,0.3733,0.257114427860696
"2351","Western New Mexico University",1,3374,8111,0.2035,0.2353,-0.156265356265356
"2352","Vaughn College of Aeronautics and Technology",2,15277,7591,0.4444,0.4286,0.0355535553555356
"2353","Adelphi University",2,21769,12729,0.6986,0.5405,0.226309762381907
"2355","Globe Institute of Technology",3,2307,2421,0.2424,0.3151,-0.299917491749175
"2356","Bryant & Stratton College-Albany",3,12564,2674,0.3889,0.4386,-0.127796348675752
"2357","Albany College of Pharmacy and Health Sciences",2,24725,12450,0.7536,0.5,0.33651804670913
"2360","Alfred University",2,8986,10968,0.5785,0.4333,0.250993949870354
"2366","American Musical and Dramatic Academy",2,18927,7368,0.735,0.5733,0.22
"2372","Bard College",2,15516,23461,0.7582,0.7059,0.068979161171195
"2373","Barnard College",2,29924,21263,0.8939,0.913,-0.0213670432934333
"2375","Berkeley College-New York",3,18332,5189,0.2784,0.3034,-0.0897988505747127
"2380","Boricua College",2,9753,3664,0.3333,0.1667,0.4998499849985
"2382","Briarcliffe College",3,18087,5111,0.5132,0.35,0.318004676539361
"2388","Bryant & Stratton College-Syracuse North",3,12658,2570,0.3409,1,-1.93341155764154
"2390","Bryant & Stratton College-Buffalo",3,13879,2273,0.3333,0.1212,0.636363636363636
"2391","Bryant & Stratton College-Greece",3,11793,1964,0.5263,0.0909,0.827284818544556
"2393","Canisius College",2,15780,9078,0.7075,0.4565,0.354770318021201
"2397","Cazenovia College",2,10108,9216,0.5667,0.6364,-0.122992765131463
"2403","Clarkson University",2,14504,13300,0.7187,0.5263,0.267705579518575
"2407","Colgate University",2,30401,22975,0.9313,0.8611,0.0753785031676152
"2408","Metropolitan College of New York",2,16545,5416,0.5,0.4366,0.1268
"2409","Columbia University in the City of New York",2,33371,80944,0.9581,0.9032,0.0573009080471767
"2412","Concordia College-New York",2,16985,8617,0.6078,0.5,0.177360974004607
"2416","Cooper Union for the Advancement of Science and Art",2,2876,21635,0.8409,0.7273,0.135093352360566
"2417","Cornell University",2,25066,23818,0.9445,0.8786,0.0697723663313922
"2421","Culinary Institute of America",2,22161,12857,0.7317,0.6897,0.0574005740057401
"2422","CUNY Bernard M Baruch College",1,6620,8733,0.6503,0.5986,0.0795017684145778
"2425","CUNY Brooklyn College",1,4474,8934,0.5364,0.4435,0.173191648023863
"2426","College of Staten Island CUNY",1,3868,8302,0.3246,0.1435,0.557917436845348
"2427","CUNY City College",1,4649,13370,0.4465,0.4188,0.0620380739081747
"2430","CUNY Hunter College",1,5909,9116,0.4971,0.5361,-0.0784550392275197
"2431","CUNY John Jay College of Criminal Justice",1,4113,8629,0.4324,0.3501,0.190333024976873
"2434","CUNY Lehman College",1,5599,9882,0.5079,0.378,0.255759007678677
"2436","CUNY New York City College of Technology",1,2839,8532,0.1835,0.1257,0.314986376021798
"2437","CUNY Queens College",1,4826,8503,0.6447,0.5118,0.206142391810144
"2440","CUNY York College",1,3421,8699,0.2987,0.327,-0.0947438901908269
"2442","D'Youville College",2,17976,9847,0.4522,0.2692,0.4046881910659
"2443","Daemen College",2,12993,8096,0.5154,0.2941,0.429375242530074
"2445","Dominican College of Blauvelt",2,17734,7330,0.4065,0.3333,0.180073800738007
"2446","Dowling College",2,18761,9176,0.4318,0.1918,0.555812876331635
"2450","Elmira College",2,14188,8318,0.604,0.5,0.172185430463576
"2452","Fashion Institute of Technology",1,8079,11351,0.7611,0.5556,0.270003941663382
"2454","Five Towns College",3,12388,4667,0.3969,0.2687,0.323003275384228
"2455","Fordham University",2,26498,14019,0.8386,0.6543,0.219771046983067
"2462","Hamilton College",2,30824,30436,0.9256,0.8824,0.0466724286949006
"2463","Hartwick College",2,20529,11244,0.5925,0.5294,0.106497890295359
"2466","Hilbert College",2,14015,5739,0.519,0.4054,0.21888246628131
"2467","Hobart William Smith Colleges",2,24777,13538,0.7672,0.7619,0.00690823774765377
"2468","Hofstra University",2,26052,16162,0.6403,0.4495,0.29798531938154
"2469","Houghton College",2,14302,10197,0.7711,0.6667,0.135390999870315
"2474","Iona College",2,20138,8094,0.6097,0.3953,0.351648351648352
"2477","Ithaca College",2,21592,12627,0.823,0.7347,0.107290400972053
"2482","The Juilliard School",2,16518,28982,0.8214,0.8,0.0260530801071341
"2485","Keuka College",2,14232,7665,0.4818,0.1667,0.654005811540058
"2486","LIM College",3,25215,4380,0.5051,0.5588,-0.106315581073055
"2487","Le Moyne College",2,15242,10173,0.7303,0.5652,0.22607147747501
"2488","LIU Brooklyn",2,24979,11466,0.4866,0.2109,0.566584463625154
"2489","LIU Post",2,20971,10578,0.4296,0.3258,0.241620111731844
"2496","Manhattan College",2,21001,10328,0.7824,0.6552,0.162576687116564
"2497","Manhattan School of Music",2,30208,18431,0.6364,0.5,0.214330609679447
"2498","Manhattanville College",2,15509,8104,0.5785,0.5952,-0.028867761452031
"2501","Marist College",2,21295,11426,0.8182,0.6486,0.207284282571499
"2503","Marymount Manhattan College",2,21812,11003,0.4326,0.4878,-0.127600554785021
"2504","Medaille College",2,14271,6770,0.4806,0.3061,0.363087806908032
"2507","Mercy College",2,14998,4953,0.4663,0.1892,0.594252627064122
"2517","Molloy College",2,21375,13066,0.7491,0.5581,0.254972633827259
"2518","Monroe College",3,11102,3561,0.4667,0.5083,-0.0891364902506963
"2520","Mount Saint Mary College",2,16643,7611,0.5898,0.5455,0.0751102068497796
"2521","College of Mount Saint Vincent",2,17809,8693,0.5762,0.4815,0.164352655328011
"2524","Nazareth College",2,19706,11433,0.7769,0.4667,0.39927918651049
"2526","The College of New Rochelle",2,13397,5731,0.3846,0.2681,0.302912116484659
"2527","The New School",2,26315,13249,0.54,0.5,0.0740740740740741
"2535","New York University",2,32018,30237,0.8355,0.7387,0.115858767205266
"2537","Niagara University",2,12912,7464,0.6753,0.439,0.349918554716422
"2541","New York Institute of Technology",2,29171,14043,0.4754,0.2237,0.529448885149348
"2543","Nyack College",2,12877,7724,0.5783,0.3333,0.423655542106173
"2548","Pace University-New York",2,20304,10470,0.5425,0.4632,0.146175115207373
"2549","Paul Smiths College of Arts and Science",2,12339,7229,0.4824,0.1429,0.7037728026534
