"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"6078","Le Cordon Bleu College of Culinary Arts-Seattle",3,"9865","2096","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10773","11250","10346","33400","36300","37700"
"6079","Le Cordon Bleu College of Culinary Arts-Cambridge",3,"9384","4758","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","12327.5","9500","31600","37700","42300"
"6080","Le Cordon Bleu College of Culinary Arts-Dallas",3,"10068","2619","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10773","11250","10346","33400","36300","37700"
"6081","Ross Medical Education Center-New Baltimore",3,"8631","1954","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","5500","22400","PrivacySuppressed","PrivacySuppressed"
"6082","Ross College-Sylvania",3,"13505","2670","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","5500","22800","PrivacySuppressed","PrivacySuppressed"
"6083","Argosy University-Salt Lake City",3,"13496","4410","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","12667","12500","40500","41300","42800"
"6084","Escuela De Troqueleria Y Herramentaje",1,"683","1895","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22800","PrivacySuppressed","PrivacySuppressed"
"6085","Virginia College-Montgomery",3,"15865","4350","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10431","13235","12000","25700","34500","38500"
"6086","Fortis Institute-Nashville",3,"9241","5549","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","10105.5","13872","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"6087","Beckfield College-Tri-County",3,"9239","11519","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12271","15492.5","14677.5","26500","35200","36100"
"6088","Elite Welding Academy LLC",3,"19855","6231","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"6089","Galen College of Nursing-Cincinnati",3,"9011","4588","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13594","15800","14473","36000","42200","47500"
"6090","Pinnacle Career Institute-North Kansas City",3,"14768","2358","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8889","11256","10788","30700","PrivacySuppressed","PrivacySuppressed"
"6091","Strayer University-North Carolina",3,"17176","2340","0","0.2","NULL","NULL","NULL","NULL","NULL","0","NULL","8334","16769.5","17500.5","41900","55100","71400"
"6092","Strayer University-New Jersey",3,"16222","3094","0","0.1429","0","NULL","NULL","NULL","NULL","0","NULL","8334","16769.5","17500.5","41900","55100","71400"
"6093","American National University-Dayton",3,"7731","5541","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12667","16260","12667","21400","26000","32200"
"6094","American National University-Youngstown",3,"9207","6471","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12667","16260","12667","21400","26000","32200"
"6095","American National University-Cincinnati",3,"7772","8213","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12667","16260","12667","21400","26000","32200"
"6096","National College-Stow",3,"10444","10146","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13723","PrivacySuppressed","PrivacySuppressed","22800","PrivacySuppressed","PrivacySuppressed"
