"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"3978","Sanford-Brown College-Tysons Corner",3,"19649","16268","0.4286","0.5714","0.5556","1","NULL","NULL","0.5","NULL","0.4056","26750","PrivacySuppressed","PrivacySuppressed","29700","37600","36000"
"3979","Washington County Adult Skill Center",1,"2749","5972","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3980","Wilson Workforce and Rehabilitation Center",1,"82287","27673","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3981","Wytheville Community College",1,"2178","4929","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5000","3750","4024","26800","PrivacySuppressed","PrivacySuppressed"
"3982","Beauty Academy",3,"11362","2722","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7389","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3983","The Art Institute of Seattle",3,"13584","5938","0.3352","0.0769","0.28","0.24","0.3333","NULL","NULL","1","0.3168","10997","12092","11334","34400","37900","40400"
"3984","Evergreen Beauty and Barber College-Bellevue",3,"5124","3264","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7667","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3985","Bellevue College",1,"3755","5155","0.2545","0.1","0.2","0.3836","0.2","NULL","0.4","NULL","0.0667","7676","8626","5500","43100","50300","54000"
"3986","Bellingham Technical College",1,"1941","6462","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9520","9500","7187","38100","PrivacySuppressed","PrivacySuppressed"
"3987","Big Bend Community College",1,"2825","7291","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6347","6317","6820.5","32300","43300","49100"
"3988","Everest College-Bremerton",3,"9268","4886","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","6655","26500","31800","31100"
"3989","Everest College-Renton",3,"9236","4197","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","26800","31800","32600"
"3990","Central Washington University",1,"6532","8475","0.5412","0.4286","0.5122","0.6053","0.125","0.1429","0.4938","0.625","0.5946","15000","15455","15000","46700","47000","48300"
"3991","Centralia College",1,"1548","4862","0.3474","0.25","0.2105","0","0","NULL","0.3333","0.3333","0.5556","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","28800","PrivacySuppressed","PrivacySuppressed"
"3992","City University of Seattle",2,"19109","8998","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10500","15600","12500","43000","51600","64900"
"3993","Paul Mitchell the School-Richland",3,"6411","2665","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5410","7236","8223","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"3994","Clark College",1,"3243","4916","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7333","6500","5500","33800","43100","47600"
"3995","Clover Park Technical College",1,"1284","4124","0.3806","0.1905","0.3077","0.4","0","0","0.25","0","0.2","9500","9378","6500","32700","41400","39200"
"3996","Columbia Basin College",1,"1482","5492","0.2597","0.1667","0.2222","0.3333","0","NULL","0.1","0","0.5","6344","5678","5500","34200","38100","43000"
"3997","Cornish College of the Arts",2,"26086","20016","0.4932","0.6","0.625","0.6364","1","1","0.6667","0.6","0.1333","23750","19000","19500","29400","34100","32800"
"3998","Divers Institute of Technology",3,"14465","5086","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","5500","59200","PrivacySuppressed","PrivacySuppressed"
"3999","Eastern Washington University",1,"7535","6934","0.4868","0.2821","0.4303","0.4833","0.4783","0.2222","0.3846","0.2308","0.3902","15335","15500","14000","42700","44800","46300"
"4000","Edmonds Community College",1,"3664","7947","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8103.5","7500","5500","36100","45200","51300"
"4001","Everett Community College",1,"3224","7416","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7000","6834","5500","34600","41700","40700"
"4002","Paroba College of Cosmetology",3,"10660","6762","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7917","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4003","The Evergreen State College",1,"7492","8785","0.5683","0.5455","0.4815","0.6","0.1667","0.6667","0.7273","0.6","0.551","15280","14130.5","13000","33100","37500","37800"
"4004","Pierce College-Fort Steilacoom",1,"3062","4352","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7135.5","7000","5500","34200","40600","46000"
"4005","Glen Dow Academy of Hair Design",3,"8454","6737","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6967","7917","5739","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4006","Gonzaga University",2,"19185","9857","0.8411","0.75","0.8387","0.8","0.625","0.8182","0.75","0.8333","0.7959","22500","25000","21553","51600","57100","61200"
"4007","Grays Harbor College",1,"500","5664","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6995.5","9396","4108","28000","PrivacySuppressed","PrivacySuppressed"
"4008","Green River College",1,"4454","5845","0.3264","0.1613","0.2105","0.3947","0.1429","0","0.2121","NULL","0.3226","6500","6359","5500","35400","45800","41100"
"4009","Heritage University",2,"16541","13599","0.3333","NULL","0.2143","NULL","0","NULL","1","NULL","0","19000","19831","21250","28400","PrivacySuppressed","PrivacySuppressed"
"4010","Highline College",1,"1876","5861","0.3122","0.2326","0.2333","0.3636","0","0.4","0.2692","0","0.1786","6332","5875","5363","34700","44100","46600"
"4011","Interface College-Spokane",3,"11952","4067","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","27500","PrivacySuppressed","PrivacySuppressed"
"4012","International Air and Hospitality Academy",3,"9056","1594","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","6333","4400","24500","29900","27700"
"4013","ITT Technical Institute-Seattle",3,"17508","2376","0.4286","0.1","0.375","0.5833","1","NULL","NULL","NULL","1","12667","17615","15904.5","43800","46500","46400"
"4014","ITT Technical Institute-Spokane Valley",3,"17220","1983","0.2923","0.5","0","0","0.5","NULL","NULL","NULL","0.5","12667","17615","15904.5","43800","46500","46400"
"4015","Bastyr University",2,"24124","16430","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20917","15000","15000","36800","PrivacySuppressed","PrivacySuppressed"
"4016","Gene Juarez Academy of Beauty-Mountlake Terrace",3,"17014","6716","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9916","10183","10555","26500","28900","28300"
"4017","Bates Technical College",1,"1915","4737","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5170.5","5500","5500","34100","44000","48100"
"4018","Lake Washington Institute of Technology",1,"2576","6460","0.2881","0.25","0.2857","0.2727","0","NULL","0.5","0.75","0.2","9500","9500","8334","39600","46200","57700"
"4019","Lower Columbia College",1,"801","4877","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","6500","5448","30700","40100","46800"
"4020","Trinity Lutheran College",2,"12427","9291","0.4286","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","11155","9750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4021","BJ's Beauty & Barber College",3,"4300","2922","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"4022","BJ's Beauty & Barber College",3,"4146","2985","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5635","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4023","Northwest Hair Academy",3,"8399","2573","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7250","PrivacySuppressed","PrivacySuppressed","18300","PrivacySuppressed","PrivacySuppressed"
"4024","North Seattle College",1,"3619","6432","0.3333","0.125","0.1667","0.3333","0","NULL","0.4545","NULL","0.1765","4316.5","6168","5648","40200","PrivacySuppressed","PrivacySuppressed"
"4025","Northwest University",2,"14727","8442","0.5612","0.3333","0.25","0.5","NULL","NULL","0.6","NULL","0.5294","12500","16724.5","14500","38800","34900","47000"
"4026","Olympic College",1,"3532","4627","0.282","0.1538","0.2692","0.2609","0.3333","0.2","0.36","0.6667","0.2","7500","8000","5500","30100","40200","43800"
"4027","Perry Technical Institute",2,"8558","4663","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16830","16830","16575","55600","56000","59800"
"4028","Pacific Lutheran University",2,"18608","11937","0.7233","0.3684","0.4722","0.5385","0.5","0.5","0.871","0.8333","0.0625","23496.5","22800","22243.5","49100","45200","54000"
"4029","Peninsula College",1,"1524","5650","0.2674","0","0.2727","0","0.4","NULL","0.125","1","0.1667","8497.5","8166","5500","29000","PrivacySuppressed","PrivacySuppressed"
"4030","University of Puget Sound",2,"27917","18755","0.7778","0.6667","0.5429","0.8438","0","0","0.7","0.75","1","11000","23372","22250","54000","53100","57100"
"4031","Renton Technical College",1,"1841","7320","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5942","6334","6600","35500","PrivacySuppressed","PrivacySuppressed"
"4032","Saint Martin's University",2,"14277","7237","0.5086","0.3333","0.4545","0.3333","0.3333","0.6667","0.5294","NULL","0.3333","22705","20834","19500","49400","47700","51200"
"4033","South Seattle College",1,"3333","6851","0.3091","0.2222","0.2","0.1935","0.2","NULL","0.2222","NULL","0.4","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","34200","PrivacySuppressed","PrivacySuppressed"
"4034","Seattle Central College",1,"3911","6107","0.2282","0.175","0.1111","0.3421","NULL","1","0.1875","0.8571","0.25","5880","5574","5500","32900","PrivacySuppressed","PrivacySuppressed"
"4035","Everest College-Seattle",3,"8221","6768","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","7500","25600","30400","31200"
"4036","Seattle Pacific University",2,"19371","10181","0.7513","0.5833","0.84","0.7632","1","1","0.7857","0","0.7407","22543.5","22500","20000","46400","48800","52000"
"4037","Seattle University",2,"25546","15163","0.7969","0.7885","0.7887","0.7563","0.7143","NULL","0","0.6522","0.8621","23399.5","23200","21500","62400","59800","58300"
"4038","Shoreline Community College",1,"4298","5395","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7411","6333","5500","40100","45600","54100"
"4039","Skagit Valley College",1,"2154","5563","0.2222","0","0.0571","0.1875","0","0","0.2105","0.5","0.2857","7676","9500","5900","31500","38500","44000"
"4040","South Puget Sound Community College",1,"3554","5325","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6923","5500","4000","33100","PrivacySuppressed","PrivacySuppressed"
"4041","Spokane Community College",1,"1486","5522","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8585","9000","6057","32500","39500","44700"
"4042","Spokane Falls Community College",1,"1568","5389","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6383.5","5667","5500","30800","34100","38400"
"4043","Stylemaster College of Hair Design",3,"7766","980","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10096","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4044","Tacoma Community College",1,"1781","4806","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8281","7458","5721","33900","43400","46000"
"4045","Walla Walla Community College",1,"1253","4815","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8707","8108.5","7743","29900","40900","43700"
"4046","Walla Walla University",2,"17229","10535","0.5804","0.4444","0.5122","0.5714","0","0.75","NULL","0.375","1","21300","21500","19303.5","48600","48700","51000"
"4047","Washington State University",1,"10933","9952","0.6843","0.6129","0.63","0.659","0.6286","0.4667","0.5714","0.5694","0.6786","14609.5","15000","14523","50000","52000","55400"
"4048","University of Washington-Seattle Campus",1,"17415","24561","0.8454","0.7184","0.7702","0.8655","0.7031","0.7222","0.918","0.8149","0.8077","14239.5","13934","14000","69700","60600","60500"
"4049","Wenatchee Valley College",1,"1198","5373","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8930","7589","5500","32500","38300","47600"
"4050","Everest College-Vancouver",3,"8983","4000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","22900","30500","26500"
"4051","Western Washington University",1,"8189","8911","0.7369","0.5","0.6205","0.7172","0.5641","0.3333","0.6918","0.6667","0.7143","14667","15753","15000","45600","45600","48900"
"4052","Whatcom Community College",1,"2901","5941","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8000","7000","5500","34600","38900","38700"
"4053","Whitman College",2,"30363","19220","0.8732","0.8333","0.8182","0.9","0","NULL","1","1","0.8837","15985","17650","15000","PrivacySuppressed","PrivacySuppressed","50700"
"4054","Whitworth University",2,"17141","9969","0.7598","0.6364","0.5926","0.9167","1","1","0.7778","0.6923","0.7","21894.5","22750","21427.5","41100","44100","48300"
"4055","Yakima Valley Community College",1,"1424","6106","0.287","0","0.1729","0","0","0.5","0","NULL","0.2","7000","5938","5500","31100","39000","42200"
"4056","Alderson Broaddus University",2,"9940","5771","0.4577","0.3333","0.3333","NULL","0","NULL","NULL","0.75","0","9500","9500","8250","43500","46000","56900"
"4057","Appalachian Beauty School",3,"3109","6286","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4058","Appalachian Bible College",2,"6704","4059","0.625","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4059","B M Spurr School of Practical Nursing",2,"1679","16815","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4060","Ben Franklin Career Center",1,"922","3159","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4061","Bethany College",2,"11558","7689","0.4977","0.2273","0.2727","0.3333","1","NULL","NULL","NULL","NULL","16476","22250","15000","36800","42100","46500"
"4062","Bluefield State College",1,"2772","6763","0.3489","0.1905","0.3333","0","0","0","0","0.8","NULL","12228.5","12455.5","9500","28900","37100","39000"
"4063","Cabell County Career Technology Center",1,"2739","27076","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4064","Charleston School of Beauty Culture",3,"1233","2251","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4065","University of Charleston",2,"12238","6776","0.3575","0.2","0.5556","0.3636","0","NULL","0.6","0.2381","0.4444","10100","11000","12000","38800","45400","47800"
"4066","Clarksburg Beauty Academy and School of Massage Therapy",3,"4173","5083","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4067","Concord University",1,"2669","5042","0.3487","0.1961","0","0","0","NULL","NULL","0.4444","0","10500","11540","11500","33200","35700","38300"
"4068","Davis & Elkins College",2,"13114","7995","0.4222","0.2","0.3333","0","0","NULL","NULL","0.4286","0.1111","15375","14250","13000","29900","38900","50000"
"4069","Fairmont State University",1,"3200","6375","0.3516","0.36","0.25","0.2","0","NULL","0.3571","0.1111","0","13950","13024.5","11791","33100","38400","43500"
"4070","Glenville State College",1,"3829","6565","0.3739","0.1333","0.3333","NULL","0","NULL","NULL","NULL","0.25","12750","14250","9500","28000","38000","43600"
"4071","Huntington Junior College",3,"7180","1686","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8433","PrivacySuppressed","PrivacySuppressed","18000","PrivacySuppressed","PrivacySuppressed"
"4072","James Rumsey Technical Institute",1,"863","27048","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4073","Ralph R Willis Career and Technical Center",1,"3020","6206","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4074","Marshall University",1,"5955","8402","0.4483","0.3293","0.3448","0.6429","0.4","NULL","NULL","0.875","0.5","13000","14815","13855.5","35000","39500","42900"
"4075","Mercer County Technical Education Center",1,"1737","6024","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4076","Meredith Manor International Equestrian Center",3,"13514","6160","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","5500","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4077","Monongalia County Technical Education Center",1,"1892","26244","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4078","Morgantown Beauty College Inc",3,"11692","3166","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6083","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4079","Mountain State College",3,"8009","2108","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4080","Everest Institute-Cross Lanes",3,"9432","6846","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","8431.5","8439","23700","32900","37100"
"4081","Opportunities Industrialization Center",2,"9087","7787","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4082","Ohio Valley University",2,"7743","5986","0.3176","0.6667","0.6","NULL","NULL","NULL","0","0.4286","NULL","12000","14717.5","11000","38600","35100","34900"
"4083","West Virginia University at Parkersburg",1,"2493","5549","0.314","0.1111","0.2","0.3333","0","NULL","NULL","NULL","0","5500","7500","6500","28800","33300","36200"
"4084","Potomac State College of West Virginia University",1,"5358","5270","0.2358","0.0633","0.1","0","0","NULL","NULL","0","0","12500","14764","15000","45500","47300","54500"
"4085","Academy of Careers and Technology",1,"1351","3801","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4086","Salem International University",3,"20603","3031","0.3636","0.15","0","NULL","NULL","NULL","NULL","0.4545","0.32","9500","13168","12000","27500","PrivacySuppressed","PrivacySuppressed"
"4087","Shepherd University",1,"5193","6032","0.411","0.2326","0.3125","0.381","0.3333","NULL","NULL","0","0.4565","14168.5","13875","14000","37400","41100","42100"
"4088","Southern West Virginia Community and Technical College",1,"771","4999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3062.5","3000","3500","27900","PrivacySuppressed","PrivacySuppressed"
"4089","Fred W Eberle Technical Center",1,"2606","4141","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4090","West Virginia School of Osteopathic Medicine",1,"38322","22859","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2100","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4091","West Virginia State University",1,"4344","7417","0.2727","0.2208","0.6667","NULL","0","NULL","NULL","NULL","0.1556","11730","12000","9302","28800","34200","36800"
"4092","West Virginia University Hospital Departments of Rad Tech and Nutrition",2,"2066","7005","0.9444","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4093","West Liberty University",1,"5556","5416","0.4165","0.1429","0.3333","0.5","NULL","NULL","0","0.5","0.2","16315","18225","15366","33800","36200","40400"
"4094","West Virginia University Institute of Technology",1,"6877","6765","0.2228","0.0333","0","NULL","NULL","NULL","NULL","0","NULL","12500","14764","15000","45500","47300","54500"
"4095","West Virginia Wesleyan College",2,"10424","6326","0.6703","0.4815","0.875","0.75","1","NULL","NULL","0.5455","0.098","14625","15000","15000","41500","41900","52200"
"4096","West Virginia Business College-Wheeling",3,"11056","9609","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11860","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4097","West Virginia Junior College-Charleston",3,"12496","2089","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8867","11883","12224.5","19200","PrivacySuppressed","PrivacySuppressed"
"4098","West Virginia Junior College-Morgantown",3,"11347","2442","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8980","11033.5","13151","20200","PrivacySuppressed","PrivacySuppressed"
"4099","International Beauty School 4",3,"11660","3809","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4100","West Virginia Northern Community College",1,"1699","2949","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5953.5","5776","5500","25500","31900","34400"
"4101","West Virginia University",1,"11898","11703","0.5803","0.4809","0.44","0.4268","0.5217","NULL","NULL","0.7101","0.5513","12500","14764","15000","45500","47300","54500"
"4102","Wheeling Jesuit University",2,"13801","6981","0.6392","0.6667","0.5","0.5","NULL","NULL","NULL","0.8","0.5","14063","19381.5","16437.5","33600","47900","54200"
"4103","Wood County School of Practical Nursing",1,"9540","6256","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4104","Advanced Institute of Hair Design-Glendale",3,"11180","8675","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9626","10314","22700","29500","26400"
"4105","VICI Aveda Institute",3,"8553","25033","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9626","10314","22700","29500","26400"
"4106","Alverno College",2,"18323","7920","0.3876","0.3191","0.2979","0.4167","0.2","NULL","NULL","NULL","NULL","25221.5","27000","20666","34400","40000","46000"
"4107","Madison Area Technical College",1,"3820","15176","0.2603","0.1132","0.1333","0.1304","0.1667","0","0.0435","NULL","0.2167","9500","8186","5938","33100","39600","41700"
"4108","Bellin College",2,"22555","7700","0.6667","NULL","0","NULL","NULL","NULL","NULL","NULL","NULL","21979.5","15000","13350","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"4109","Beloit College",2,"17863","15371","0.9279","0.9","0.9524","1","1","NULL","0.8","0.7895","0.16","27000","23250","22600","PrivacySuppressed","PrivacySuppressed","41300"
"4110","Blackhawk Technical College",1,"2301","12411","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6395","6395","4483","28800","34900","40300"
"4111","Cardinal Stritch University",2,"12772","4521","0.5617","0.2","0.3529","0.3333","0","0","0.75","0.7","0.1429","22750","23437","24313","42200","49800","62500"
"4112","Carroll University",2,"14957","6015","0.6205","0.3333","0.5588","0.6667","0.5","1","0.5","0.6667","0","19750","23500","21500","37800","44000","46700"
"4113","Carthage College",2,"14858","9053","0.6387","0.4348","0.5455","0.4118","0.4","NULL","NULL","0","0.5","16750","24000","21937","42800","43300","48700"
"4114","Columbia College of Nursing",2,"16873","8880","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22875","19041","15000","NULL","NULL","NULL"
"4115","Concordia University-Wisconsin",2,"13503","7646","0.6364","0.3333","0.4444","0.5","NULL","NULL","0.5","0.5","0.5476","13757","14500","12912","35500","45800","48900"
"4116","Edgewood College",2,"16336","7616","0.6293","0.5","0.4286","0.875","0","NULL","NULL","1","0.4286","17500","21500","19145.5","38600","45500","48700"
"4117","Fox Valley Technical College",1,"2441","13567","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5990","5500","5500","32900","37700","40300"
"4118","Gateway Technical College",1,"3100","13912","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6000","5799","4794","29600","37600","38200"
"4119","Gill-Tech Academy of Hair Design",3,"5692","3207","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7874","10009","9470","PrivacySuppressed","PrivacySuppressed","23100"
"4120","The Salon Professional Academy-Eau Claire",3,"4632","3472","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6650","PrivacySuppressed","PrivacySuppressed","20000","PrivacySuppressed","PrivacySuppressed"
"4121","ITT Technical Institute-Greenfield",3,"16359","2503","0.5135","0.1803","0.1563","0.7143","0.25","NULL","NULL","NULL","0.5","12667","17014","17000","38200","46300","47200"
"4122","Lakeland College",2,"10252","5134","0.5318","0.4286","0.5714","0.3333","0.5","NULL","NULL","1","0.3333","17750","18466","16457","36900","43300","47100"
"4123","Lakeshore Technical College",1,"3487","15635","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5750","5944.5","4521","31400","37300","37400"
"4124","Lawrence University",2,"20420","15289","0.8333","0.6667","1","0.625","1","1","0.6364","0.7647","0.25","27000","29351.5","25500","PrivacySuppressed","PrivacySuppressed","46400"
"4125","Maranatha Baptist University",2,"11566","4188","0.462","0","0.25","0","NULL","NULL","0.4","NULL","0.2","8750","12000","11250","28100","33200","38200"
"4126","Marian University",2,"12995","6341","0.5948","0.2903","0.6154","0.3333","0.3333","NULL","NULL","1","1","21000","20272","19500","31200","41600","46800"
"4127","Marquette University",2,"21044","10161","0.8135","0.6988","0.693","0.6712","0.4615","NULL","NULL","0.8077","0.6364","27000","26500","23500","68300","60600","63100"
"4128","Medical College of Wisconsin",2,"31715","55613","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
