"","INSTNM","CONTROL","TUITFTE","INEXPFTE","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","gap_earnings_high_low","gap_earnings_high_mid","gap_earnings_mid_low"
"141","Arkansas State University-Main Campus",1,3633,5358,31000,37800,44000,0.295454545454545,0.140909090909091,0.17989417989418
"142","Arkansas Tech University",1,3668,4516,34400,37700,42300,0.186761229314421,0.108747044917258,0.0875331564986737
"143","University of Arkansas at Monticello",1,2942,7186,31500,36500,40600,0.224137931034483,0.100985221674877,0.136986301369863
"147","University of Central Arkansas",1,4697,6788,34900,41400,45800,0.237991266375546,0.0960698689956332,0.157004830917874
"157","Harding University",2,12463,9684,44400,40500,45100,0.0155210643015521,0.1019955654102,-0.0962962962962963
"158","Henderson State University",1,3067,6495,35600,38800,41000,0.131707317073171,0.0536585365853659,0.0824742268041237
"159","Hendrix College",2,11902,11426,46400,46000,46600,0.00429184549356223,0.0128755364806867,-0.00869565217391304
"162","John Brown University",2,10593,7556,43700,53100,62500,0.3008,0.1504,0.177024482109228
"172","Ouachita Baptist University",2,10798,8934,41400,37700,45600,0.0921052631578947,0.173245614035088,-0.0981432360742706
"175","University of the Ozarks",2,10822,9797,29100,38400,45000,0.353333333333333,0.146666666666667,0.2421875
"181","Pulaski Technical College",1,1450,3618,27600,35600,36600,0.245901639344262,0.0273224043715847,0.224719101123595
"187","Williams Baptist College",2,6711,5047,32300,36700,34100,0.0527859237536657,-0.0762463343108504,0.119891008174387
"189","Southern Arkansas University Main Campus",1,3602,6436,35100,37900,45700,0.231947483588621,0.170678336980306,0.0738786279683377
"192","University of Arkansas-Fort Smith",1,2356,5534,31100,35400,42800,0.273364485981308,0.172897196261682,0.121468926553672
"193","Academy of Art University",3,25086,12136,39800,48200,48100,0.172557172557173,-0.00207900207900208,0.174273858921162
"194","ITT Technical Institute-Rancho Cordova",3,18433,3361,38200,46300,47200,0.190677966101695,0.0190677966101695,0.174946004319654
"204","American Career College-Los Angeles",3,11851,3829,30700,37100,42400,0.275943396226415,0.125,0.172506738544474
"206","American River College",1,451,3481,32300,43300,47900,0.325678496868476,0.0960334029227557,0.254041570438799
"208","Art Center College of Design",2,30191,19131,57400,63900,65100,0.118279569892473,0.0184331797235023,0.101721439749609
"211","Azusa Pacific University",2,18423,10128,48900,53900,54800,0.107664233576642,0.0164233576642336,0.0927643784786642
"212","Bakersfield College",1,540,4564,32900,39000,51900,0.366088631984586,0.248554913294798,0.156410256410256
"216","Biola University",2,21146,10696,44200,44300,49300,0.103448275862069,0.101419878296146,0.00225733634311512
"217","Brooks Institute",3,22622,8556,31000,33900,37500,0.173333333333333,0.096,0.0855457227138643
"220","Butte College",1,930,4664,33500,39500,46300,0.27645788336933,0.146868250539957,0.151898734177215
"224","California Baptist University",2,18625,8080,37800,43000,48800,0.225409836065574,0.118852459016393,0.12093023255814
"225","California College of the Arts",2,27248,15586,44400,48800,43800,-0.0136986301369863,-0.114155251141553,0.0901639344262295
"228","California Lutheran University",2,18773,8294,51600,48700,60300,0.144278606965174,0.192371475953566,-0.0595482546201232
"229","California Polytechnic State University-San Luis Obispo",1,8330,9610,65600,64600,69700,0.0588235294117647,0.0731707317073171,-0.0154798761609907
